bill/BillInvoiceId,lineItem/UsageAccountId,lineItem/Region,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/UsageAmount,lineItem/UsageUnit,lineItem/UnblendedCost,resourceId,tags/Product,tags/Environment
2025-10-AWS-0001,444455556666,us-east-1,Usage,2025-10-20T17:00:00,2025-10-20T18:00:00,AmazonRDS,RDS:StorageUsage,ModifyDBInstance,259.96,Hrs,46.1352,db-00000000,Search,prod
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-18T17:00:00,2025-10-18T18:00:00,AmazonRDS,RDS:Multi-AZUsage,CreateDBInstance,687.7,Hrs,148.2909,db-00000001,InternalTools,dev
2025-10-AWS-0001,444455556666,us-east-1,Usage,2025-10-13T02:00:00,2025-10-13T03:00:00,AmazonEC2,BoxUsage:c5.xlarge,StopInstances,651.87,Hrs,23.2738,i-00000002,Checkout,prod
2025-10-AWS-0001,444455556666,us-east-1,Usage,2025-10-22T09:00:00,2025-10-22T10:00:00,AmazonEBS,EBS:VolumeUsage.io2,CreateVolume,2131.68,GB-Mo,205.3373,vol-00000003,InternalTools,staging
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-11T14:00:00,2025-10-11T15:00:00,ElasticLoadBalancing,LCUs,HealthCheck,94.94,LCU-Hrs,0.7326,alb-00000004,Search,dev
2025-10-AWS-0001,444455556666,us-west-2,Usage,2025-10-12T06:00:00,2025-10-12T07:00:00,AmazonEBS,EBS:VolumeUsage.io2,CreateVolume,1846.95,GB-Mo,180.8994,vol-00000005,InternalTools,staging
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-09T13:00:00,2025-10-09T14:00:00,AmazonVPC,AWS-DataTransfer-Internet-Out-Bytes,CreateNatGateway,1616.16,GB,134.0656,nat-00000006,MarketingSite,prod
2025-10-AWS-0001,444455556666,eu-west-1,Usage,2025-10-15T18:00:00,2025-10-15T19:00:00,AmazonS3,Requests-Tier1,GetObject,863459.0,Requests,337.8576,bucket-00000007,MarketingSite,staging
2025-10-AWS-0001,444455556666,eu-west-1,Usage,2025-10-11T19:00:00,2025-10-11T20:00:00,AmazonS3,TimedStorage-ByteHrs,GetObject,3272.3,GB-Mo,67.3838,bucket-00000008,Checkout,prod
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-30T03:00:00,2025-10-30T04:00:00,AmazonEBS,EBS:VolumeUsage.gp3,AttachVolume,4460.47,GB-Mo,488.8454,vol-00000009,Checkout,staging
